user_id,age,gender
1000,28,男
1001,26,男
1002,22,男
1003,58,女
1004,62,男
1005,43,女
1006,27,男
1007,50,男
1008,54,女
1009,37,女
1010,53,男
1011,24,男
1012,61,女
1013,62,女
1014,54,女
1015,40,女
1016,41,男
1017,59,女
1018,41,男
1019,24,男
1020,40,女
1021,59,女
1022,50,女
1023,20,男
1024,54,女
1025,19,女
1026,55,女
1027,62,男
1028,20,男
1029,51,男
1030,23,女
1031,20,男
1032,27,女
1033,22,女
1034,63,男
1035,22,女
1036,50,男
1037,60,男
1038,25,男
1039,19,男
1040,25,女
1041,19,男
1042,34,女
1043,23,男
1044,42,男
1045,53,女
1046,59,女
1047,33,女
1048,48,女
1049,57,男
