user_id,item_id,rating
51,33,4
92,46,2
14,7,2
71,39,2
60,48,2
20,43,2
82,18,2
86,41,2
74,40,4
74,36,1
87,5,3
99,25,5
23,33,3
2,44,3
21,5,1
52,36,1
1,32,1
87,21,2
29,20,4
37,5,2
1,5,4
63,47,4
59,3,3
20,29,3
32,10,4
75,29,4
57,30,2
21,23,2
88,8,3
48,2,1
90,30,4
58,39,2
41,36,3
91,35,2
59,23,4
79,30,4
14,5,5
61,1,1
61,19,5
46,27,3
61,10,2
50,3,3
54,14,4
63,5,5
2,48,5
50,29,5
6,37,3
20,1,4
72,14,2
38,10,2
17,7,3
3,25,5
88,44,1
59,43,3
13,4,3
8,5,4
89,25,2
52,3,3
1,18,3
83,19,5
91,32,5
59,19,1
70,48,4
43,11,1
7,46,5
46,0,2
34,25,5
77,13,4
80,37,5
35,36,4
49,10,4
3,35,4
1,12,4
5,42,4
53,2,2
3,32,1
53,5,3
92,49,1
62,9,4
17,4,2
89,22,5
43,9,2
33,43,4
73,1,2
61,12,2
99,39,4
13,1,2
94,19,3
47,0,3
14,36,2
71,8,5
77,16,4
86,8,3
39,14,2
84,23,5
79,37,1
81,34,3
52,29,2
23,30,4
25,48,2
88,4,4
40,49,5
28,13,5
14,10,5
44,8,1
64,33,4
88,11,5
70,34,1
8,34,4
87,0,2
0,39,1
7,21,3
87,28,1
62,7,1
10,10,4
80,40,2
7,36,3
34,13,5
34,29,5
32,34,1
4,20,4
40,36,4
27,4,5
6,18,3
72,13,2
71,25,3
11,3,2
33,24,5
32,44,2
47,41,4
22,24,1
61,17,1
87,39,5
36,7,4
98,38,3
43,39,4
85,13,1
90,31,1
34,37,4
64,32,4
98,22,1
46,14,3
77,32,5
2,24,5
0,16,4
4,32,5
89,46,1
26,13,4
8,39,4
78,39,4
14,38,3
89,5,5
41,5,4
76,2,2
50,6,2
95,41,5
51,14,4
95,46,2
3,28,5
93,32,1
22,29,3
42,26,5
28,35,3
35,28,5
12,37,1
31,32,1
70,36,3
58,26,4
85,32,2
27,3,4
65,21,5
41,1,2
44,9,3
61,4,3
56,9,2
5,32,1
27,37,2
27,12,5
43,30,1
83,46,3
29,35,2
61,44,4
74,23,4
91,14,5
88,28,4
61,7,2
96,4,2
0,28,4
26,46,2
61,3,5
76,11,1
69,1,5
71,26,2
26,30,1
8,35,2
61,35,3
36,25,2
96,42,2
50,26,2
43,4,1
23,19,2
78,10,1
58,9,4
31,39,3
95,37,1
51,7,1
61,22,1
57,46,3
51,25,5
11,45,5
38,42,1
1,11,2
2,25,4
55,12,2
80,39,2
58,17,1
1,24,1
91,46,1
53,39,5
86,42,1
95,11,5
96,43,5
0,35,1
18,47,3
1,3,4
52,4,2
43,36,5
89,7,4
31,41,3
69,48,2
31,27,2
67,30,5
54,8,1
74,28,3
55,13,5
16,39,3
37,40,1
23,21,1
68,10,5
97,22,1
69,0,4
85,45,2
10,36,5
15,20,3
96,25,4
72,45,5
58,35,1
69,22,1
79,0,1
92,39,1
2,14,3
19,20,4
58,46,2
35,8,3
18,8,3
89,9,2
66,25,2
18,40,1
19,34,3
95,24,5
70,25,2
51,10,2
32,37,4
39,1,5
38,6,5
81,17,2
0,26,1
10,33,4
91,26,5
56,16,2
88,42,5
49,43,4
22,23,4
30,24,3
93,6,2
98,23,3
6,32,3
15,48,5
89,28,5
59,42,3
1,21,5
0,25,4
47,27,1
11,49,4
68,20,3
36,48,3
31,6,4
8,16,5
98,19,5
47,48,2
79,19,5
2,21,4
19,27,5
23,39,4
53,48,3
32,6,5
23,0,4
74,31,3
71,12,2
35,29,4
37,22,2
83,18,2
98,31,1
88,29,5
98,28,4
24,48,2
92,44,1
17,28,3
81,29,4
65,15,2
34,18,1
79,17,2
60,0,5
40,13,2
99,46,4
32,49,4
67,1,4
32,27,1
13,48,4
20,49,5
47,29,2
19,37,3
7,3,5
6,0,5
66,7,4
16,28,1
32,38,2
47,2,1
75,31,2
85,9,1
21,18,5
29,45,2
37,33,1
50,32,2
53,22,3
7,27,5
26,31,4
26,49,2
97,6,3
20,28,4
29,7,4
96,0,2
27,2,1
63,23,2
96,22,3
68,7,4
60,46,2
47,36,1
18,2,2
34,27,1
63,46,3
48,7,4
16,33,2
43,34,1
91,31,5
29,23,1
92,13,5
45,31,3
5,45,4
98,42,3
36,15,2
23,3,1
92,36,5
45,20,5
52,13,1
94,30,1
98,47,2
59,17,3
96,6,5
84,6,3
86,22,5
32,20,1
66,18,1
17,47,3
24,18,4
94,35,3
53,28,4
57,17,2
66,1,2
45,0,5
23,46,4
31,4,5
46,19,1
85,10,4
22,41,3
65,1,1
26,2,1
1,22,3
89,11,1
16,19,4
32,4,5
8,36,1
42,37,4
38,8,4
92,33,5
41,43,4
25,34,3
98,21,5
24,23,3
23,16,4
12,9,5
59,29,2
6,45,3
56,22,2
35,31,4
44,16,2
19,49,1
64,16,3
7,13,2
15,8,4
13,39,4
75,1,2
86,44,4
14,24,5
91,38,5
97,8,5
31,42,2
86,45,1
62,3,4
85,25,1
50,28,4
24,44,4
57,33,3
62,22,5
61,36,4
21,10,3
57,5,5
85,20,4
48,41,1
51,35,1
41,40,5
69,37,4
14,33,2
53,16,1
59,36,5
96,24,4
7,37,4
52,11,2
59,22,5
4,41,4
67,21,1
5,20,2
95,26,5
93,30,2
46,5,1
98,26,5
54,39,2
39,33,3
51,11,1
15,44,1
12,6,1
29,9,3
18,44,3
16,16,4
62,25,2
18,20,4
91,27,2
57,45,3
54,1,3
89,42,4
89,0,5
22,25,2
8,28,4
11,20,1
0,10,2
57,39,2
33,35,3
95,48,2
47,38,3
88,39,4
0,34,1
15,33,5
62,21,3
68,4,2
21,32,3
92,35,2
66,46,4
75,19,2
25,18,2
15,34,1
50,42,2
85,16,1
56,44,5
28,42,1
77,33,4
91,8,1
68,25,5
46,1,4
93,8,3
61,8,3
68,39,1
75,16,1
15,0,5
89,24,5
47,39,5
84,41,2
38,24,4
99,38,1
93,2,5
22,49,4
9,36,4
68,43,4
99,43,5
33,29,4
51,37,2
94,33,5
9,11,4
18,18,5
57,36,3
95,43,2
0,48,4
68,16,3
3,9,3
79,11,2
1,15,2
91,23,1
31,18,2
90,7,3
83,30,2
23,20,5
11,16,1
49,22,3
34,36,1
32,15,3
32,5,5
60,7,1
50,24,4
42,17,3
11,24,4
66,11,1
64,14,4
32,25,4
39,40,1
73,44,5
42,25,4
43,46,4
28,31,5
11,15,4
94,6,4
45,16,2
86,20,5
80,21,3
89,6,3
92,14,5
25,6,5
73,8,5
89,47,2
33,7,3
6,49,5
67,22,5
57,28,2
74,17,2
28,30,5
88,38,5
20,34,5
35,17,2
9,41,2
72,38,5
63,13,5
98,30,2
48,23,5
98,34,5
35,43,4
81,44,1
95,33,3
23,2,1
22,36,4
61,42,3
95,39,5
11,22,5
54,43,2
12,38,4
22,14,2
88,48,4
98,3,4
29,28,2
16,21,3
61,24,1
83,12,5
88,17,4
12,15,2
58,44,5
18,41,2
48,43,5
99,1,1
11,34,1
60,41,1
18,33,1
8,12,1
70,12,2
27,17,4
77,31,5
94,31,1
51,34,2
82,38,2
15,45,2
68,28,4
98,48,5
11,28,4
24,43,3
51,15,2
84,43,3
52,9,1
15,24,5
56,38,3
38,19,5
41,0,1
57,29,5
38,48,5
13,2,1
94,44,3
4,13,1
86,49,3
92,3,3
17,36,5
75,24,4
8,47,5
73,0,2
16,14,3
6,8,4
45,14,3
12,48,3
39,23,4
41,3,3
8,11,3
49,36,2
26,36,5
65,42,5
4,5,2
28,38,4
36,45,1
37,23,1
82,10,1
7,12,2
85,24,3
16,6,1
70,3,4
88,7,4
44,19,1
35,44,1
69,45,2
30,9,2
18,42,2
60,33,5
53,25,4
38,40,4
90,48,3
73,2,2
18,4,5
38,4,4
44,22,3
57,34,2
19,19,1
91,48,1
71,41,3
60,34,4
38,49,2
0,17,1
2,16,2
76,23,4
91,2,4
61,31,5
62,34,4
24,37,3
32,46,5
37,24,3
5,8,2
57,3,1
43,13,4
44,36,1
31,33,2
44,10,5
60,40,5
46,2,5
20,27,4
79,28,3
84,8,3
74,2,1
35,24,4
98,33,5
18,11,5
19,41,2
56,8,2
17,14,5
46,39,5
48,24,4
30,33,3
0,23,4
53,14,5
2,37,3
15,7,5
86,4,5
56,47,1
74,25,3
11,17,3
73,5,5
95,36,4
15,47,1
75,27,2
23,4,2
7,16,4
91,49,5
35,39,3
89,44,1
7,31,4
59,2,2
49,39,2
27,33,3
91,39,1
40,26,2
99,12,5
63,44,3
26,32,3
62,5,2
16,23,1
72,18,5
83,39,4
76,27,4
28,47,2
12,40,2
45,12,4
34,42,1
5,44,1
81,24,2
68,41,5
46,35,1
24,26,4
65,37,3
9,6,3
55,4,3
29,42,5
4,44,2
32,30,4
64,22,5
17,41,4
95,9,4
48,31,2
10,42,3
84,29,2
25,38,5
62,30,5
85,35,2
58,1,4
48,12,1
76,28,5
32,11,4
97,38,1
98,1,4
0,31,5
20,12,3
54,45,5
5,26,2
94,39,2
4,30,3
2,33,4
52,23,4
22,44,3
52,34,1
36,47,3
73,18,4
82,29,2
84,9,4
77,40,3
72,31,5
0,33,4
50,27,1
44,14,1
76,29,2
3,36,4
61,28,1
64,21,3
31,3,4
33,19,3
71,49,4
38,3,5
25,26,1
33,16,1
53,11,4
49,16,3
11,9,4
64,0,3
53,21,1
4,25,2
93,17,5
93,49,1
56,13,4
16,46,5
46,28,2
22,11,2
78,35,3
84,34,5
13,11,3
65,6,1
50,10,1
37,32,3
97,46,3
37,14,5
49,31,3
97,10,2
81,22,3
29,25,2
78,33,3
90,45,5
50,33,5
62,28,5
97,3,4
51,16,1
37,34,5
96,12,2
87,40,5
78,38,4
29,14,2
80,28,2
4,10,3
3,1,1
9,46,4
73,21,4
16,10,4
83,26,1
87,2,4
5,27,5
52,28,4
65,20,2
76,46,4
42,15,3
22,19,2
54,5,2
79,18,1
94,4,5
3,14,4
3,33,3
55,34,4
66,24,2
95,23,3
26,17,5
31,43,2
49,15,1
60,26,3
50,7,2
18,45,3
20,24,4
4,16,5
81,28,2
91,7,2
41,14,4
21,45,5
69,6,5
0,2,2
4,28,5
11,43,3
89,23,2
45,2,5
48,45,3
77,14,3
44,29,5
72,6,1
25,16,5
46,43,1
85,19,1
55,35,2
62,37,4
47,47,2
60,21,1
80,1,1
25,23,1
35,7,5
98,16,4
78,20,3
46,17,1
55,29,1
85,17,1
13,45,2
27,30,1
86,37,2
87,10,5
1,44,2
25,24,1
13,32,2
58,37,2
55,40,2
6,7,3
2,10,5
22,21,4
17,23,4
14,11,3
63,45,3
88,31,1
27,14,5
73,15,4
38,21,2
56,27,4
24,31,3
16,49,5
12,32,1
83,1,2
24,32,4
67,32,2
9,40,1
66,12,2
17,29,1
99,32,3
85,12,4
